npw,nband,sparsity,mpi_procs,omp_threads,iterations,time_ms,max_error
100,10,0,1,1,200,496.281,1.17524e-11
500,50,6,1,1,200,2231.83,1.61151e-11
1000,100,8,1,1,200,5361.94,3.04858e-11
200,20,5,1,1,200,1006.89,1.08713e-11
