npw,nband,sparsity,mpi_procs,omp_threads,time_ms,max_error
100,10,0,1,1,1.74399,0.0207058
100,10,0,1,2,3.53477,0.0207058
100,10,0,1,4,2.082,0.0207058
500,50,6,1,1,170.856,0.0228583
500,50,6,1,2,178.135,0.0228583
500,50,6,1,4,188.034,0.0228583
1000,100,8,1,1,1320.99,0.0202181
1000,100,8,1,2,1344.22,0.0202181
1000,100,8,1,4,1440.8,0.0202181
200,20,5,1,1,11.5749,0.0116586
200,20,5,1,2,12.3254,0.0116586
200,20,5,1,4,14.2545,0.0116586
