npw,nband,sparsity,mpi_procs,omp_threads,time_ms,max_error
100,10,0,1,1,2.90336,0.0207058
100,10,0,2,1,2.78738,0.0207058
100,10,0,4,1,5.11681,0.0207058
500,50,6,1,1,172.892,0.0228583
500,50,6,2,1,174.961,0.0228583
500,50,6,4,1,184.507,0.0228583
1000,100,8,1,1,1327,0.0202181
1000,100,8,2,1,1350.5,0.0202181
1000,100,8,4,1,1457.69,0.0202181
200,20,5,1,1,12.7956,0.0116586
200,20,5,2,1,13.0612,0.0116586
200,20,5,4,1,14.429,0.0116586
